,year,ticker,yearly adjsuted close,yearly percent change,year open,year adjusted close
158,2017,AMZN,411.55000000000007,0.54299926113574,757.92,1169.47
159,2018,AMZN,329.97,0.2815443686006826,1172.0,1501.97
160,2019,AMZN,382.6399999999999,0.2611520611520611,1465.2,1847.84
161,2020,AMZN,1381.9299999999998,0.7370293333333332,1875.0,3256.93
162,2015,AMCR,,,,
163,2016,AMCR,,,,
164,2017,AMCR,,,,
165,2018,AMCR,,,,
166,2019,AMCR,,,,
167,2020,AMCR,0.7695999999999987,0.07073529411764694,10.88,11.6496
168,2015,AEE,-9.582499999999996,-0.2070101533808597,46.29,36.7075
169,2016,AEE,3.409799999999997,0.07905865986552277,43.13,46.5398
170,2017,AEE,1.3766999999999996,0.026177980604677686,52.59,53.9667
171,2018,AEE,2.528800000000004,0.04287555103424897,58.98,61.5088
172,2019,AEE,9.245700000000014,0.14208852005532527,65.07,74.3157
173,2020,AEE,0.5495999999999981,0.0071432284897322345,76.94,77.4896
174,2015,AAL,-13.811399999999999,-0.25444731024318346,54.28,40.4686
175,2016,AAL,3.8295999999999992,0.09274884960038748,41.29,45.1196
176,2017,AAL,3.433,0.07260998307952622,47.28,50.713
177,2018,AAL,-20.7259,-0.3960615325816931,52.33,31.6041
178,2019,AAL,-2.8805000000000014,-0.0915607120152575,31.46,28.5795
179,2020,AAL,-13.21,-0.4558316080055211,28.98,15.77
180,2015,AEP,-12.164200000000001,-0.19980617608409987,60.88,48.7158
181,2016,AEP,-3.3001000000000005,-0.057075406433759954,57.82,54.5199
182,2017,AEP,2.9202000000000012,0.04634502459926998,63.01,65.9302
183,2018,AEP,-3.6950000000000074,-0.050491937687892965,73.18,69.485
184,2019,AEP,16.086100000000002,0.2156024661573516,74.61,90.6961
185,2020,AEP,-11.994699999999995,-0.12692804232804228,94.5,82.5053
186,2015,AXP,-29.487700000000004,-0.31649350649350655,93.17,63.6823
187,2016,AXP,1.0504999999999995,0.015428109854604194,68.09,69.1405
188,2017,AXP,19.282700000000006,0.25748030444652165,74.89,94.1727
189,2018,AXP,-8.036100000000005,-0.08057856211771788,99.73,91.6939
190,2019,AXP,27.606400000000008,0.29396656373123214,93.91,121.5164
191,2020,AXP,-4.540999999999997,-0.03642708166212094,124.66,120.119
192,2015,AIG,-2.710100000000004,-0.04794091632761373,56.53,53.8199
193,2016,AIG,-2.6586,-0.043827893175074184,60.66,58.0014
194,2017,AIG,-11.928000000000004,-0.18086429112964372,65.95,54.022
195,2018,AIG,-23.3127,-0.388545,60.0,36.6873
196,2019,AIG,10.107100000000003,0.25982262210796925,38.9,49.0071
197,2020,AIG,-14.029000000000003,-0.27166924864446174,51.64,37.611
198,2015,AMT,-11.254999999999995,-0.11350342880193623,99.16,87.905
199,2016,AMT,1.473099999999988,0.01529857721466391,96.29,97.7631
200,2017,AMT,27.877499999999984,0.2611964770917266,106.73,134.6075
201,2018,AMT,9.381599999999992,0.06553227158424135,143.16,152.5416
202,2019,AMT,68.42139999999998,0.43549996817516373,157.11,225.5314
203,2020,AMT,-5.219999999999999,-0.02272727272727272,229.68,224.46
204,2015,AWK,0.8642000000000039,0.016213883677298386,53.3,54.1642
205,2016,AWK,7.262099999999997,0.1216839812332439,59.68,66.9421
206,2017,AWK,13.998099999999994,0.19342407074754722,72.37,86.3681
207,2018,AWK,-3.5009000000000015,-0.03847142857142859,91.0,87.4991
208,2019,AWK,30.105499999999992,0.33284134881149796,90.45,120.5555
209,2020,AWK,29.960199999999986,0.24357886178861776,123.0,152.9602
210,2015,AMP,-40.45239999999998,-0.3041991276883741,132.98,92.5276
211,2016,AMP,-4.255400000000009,-0.04094486673722706,103.93,99.6746
212,2017,AMP,42.73490000000001,0.37777341674688913,113.1231,155.858
213,2018,AMP,-72.19039999999998,-0.42305672761368956,170.64,98.4496
214,2019,AMP,58.0008,0.5607192575406033,103.44,161.4408
215,2020,AMP,25.853200000000015,0.15431061239107088,167.54,193.3932
216,2015,ABC,3.9846000000000004,0.04397527866681382,90.61,94.5946
217,2016,ABC,-29.7847,-0.29112207995308376,102.31,72.5253
218,2017,ABC,8.169899999999998,0.10406190294230032,78.51,86.6799
219,2018,ABC,-20.703000000000003,-0.22466630493760176,92.15,71.447
220,2019,ABC,9.461500000000001,0.1283089232438297,73.74,83.2015
221,2020,ABC,11.7102,0.13673750583839328,85.64,97.3502
222,2015,AME,-1.0993999999999957,-0.020837755875663302,52.76,51.6606
223,2016,AME,-5.656199999999998,-0.10700340522133936,52.86,47.2038
224,2017,AME,21.755199999999995,0.443621533442088,49.04,70.7952
225,2018,AME,-6.2664999999999935,-0.08597201262175873,72.89,66.6235
